TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_PRECISION_RADIX;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_CATALOG;CHARACTER_SET_SCHEMA;CHARACTER_SET_NAME;COLLATION_CATALOG;COLLATION_SCHEMA;COLLATION_NAME;DOMAIN_CATALOG;DOMAIN_SCHEMA;DOMAIN_NAME
CentrosHistoricosObservatorio;Basicas;TipoVinculacion;TIP_VIN;1;NULL;NO;numeric;NULL;NULL;18;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CentrosHistoricosObservatorio;Basicas;TipoVinculacion;TIP_VIN_NOMBRE;2;NULL;YES;varchar;1000;1000;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;Basicas;EtapaIniciativa;idEtapaIniciativa;1;NULL;NO;numeric;NULL;NULL;18;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CentrosHistoricosObservatorio;Basicas;EtapaIniciativa;NombreEtapaIniciativa;2;NULL;YES;varchar;500;500;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;IdCaso;1;NULL;NO;numeric;NULL;NULL;18;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;TipoCaso;2;NULL;NO;varchar;11;11;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;CasoMaestro;3;NULL;NO;varchar;12;12;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;IdCasoRelacionado;4;NULL;YES;varchar;1000;1000;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;IdConsecutivoMacroCasos;5;NULL;YES;numeric;NULL;NULL;18;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;IdVictima;6;NULL;NO;varchar;1;1;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;Base;7;NULL;YES;varchar;500;500;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
CentrosHistoricosObservatorio;dbo;View_Casos_Flujos;FechaInicialHecho;8;NULL;YES;varchar;30;30;NULL;NULL;NULL;NULL;NULL;NULL;iso_1;NULL;NULL;Modern_Spanish_CI_AS;NULL;NULL;NULL
